player_id,salary,team_code,HEIGHT,experience,AGE,PLAYER_ID,PLAYER_SEASON_STATS_SEASON,PLAYER_SEASON_STATS_TEAM_code,PLAYER_SEASON_STATS_LEAGUE,PLAYER_SEASON_STATS_FTA,PLAYER_SEASON_STATS_POSITION,PLAYER_SEASON_STATS_G,PLAYER_SEASON_STATS_GS,PLAYER_SEASON_STATS_MP,PLAYER_SEASON_STATS_FG,PLAYER_SEASON_STATS_FGA,PLAYER_SEASON_STATS_FGP,PLAYER_SEASON_STATS_3P,PLAYER_SEASON_STATS_3PA,PLAYER_SEASON_STATS_3PP,PLAYER_SEASON_STATS_2P,PLAYER_SEASON_STATS_2PA,PLAYER_SEASON_STATS_2PP,PLAYER_SEASON_STATS_FT,PLAYER_SEASON_STATS_FTP,PLAYER_SEASON_STATS_ORB,PLAYER_SEASON_STATS_DRB,PLAYER_SEASON_STATS_TRB,PLAYER_SEASON_STATS_AST,PLAYER_SEASON_STATS_STL,PLAYER_SEASON_STATS_BLK,PLAYER_SEASON_STATS_TOV,PLAYER_SEASON_STATS_PLAYER_SEASON_STATS_PF,PLAYER_SEASON_STATS_PTS
owensla01,55718.0,SAS,197.5,,,owensla01,2010-11,SAS,NBA,4,SF,7,0,31,3,6,0.5,1,3,0.333,2,3,0.667,2,0.5,0,4,4,1,2,0,0,4,9
ellismo01,11000000.0,GSW,187.5,8,28,ellismo01,2010-11,GSW,NBA,431,SG,80,80,3227,726,1611,0.451,137,379,0.361,589,1232,0.478,340,0.789,44,237,281,450,168,23,252,203,1929
leeda02,10800000.0,GSW,202.5,8,30,leeda02,2010-11,GSW,NBA,267,PF,73,73,2634,496,978,0.507,1,3,0.333,495,975,0.508,210,0.787,217,497,714,233,74,31,170,211,1203
biedran01,9000000.0,GSW,207.5,9,27,biedran01,2010-11,GSW,NBA,31,C,59,55,1397,142,266,0.534,0,0,0.0,142,266,0.534,10,0.323,145,281,426,60,52,52,57,198,294
radmavl01,6883800.0,GSW,205,12,33,radmavl01,2010-11,GSW,NBA,34,PF,74,6,1169,137,318,0.431,70,173,0.405,67,145,0.462,30,0.882,64,148,212,79,44,44,57,157,374
wrighdo01,3500000.0,GSW,197.5,9,28,wrighdo01,2010-11,GSW,NBA,228,SF,82,82,3147,485,1146,0.423,194,516,0.376,291,630,0.462,180,0.789,88,343,431,242,124,63,133,171,1344
udohek01,3065040.0,GSW,205,3,26,udohek01,2010-11,GSW,NBA,64,C,58,18,1030,97,222,0.437,0,0,0.0,97,222,0.437,42,0.656,80,101,181,40,22,86,48,144,236
curryst01,2913840.0,GSW,187.5,4,25,curryst01,2010-11,GSW,NBA,227,PG,74,74,2489,505,1053,0.48,151,342,0.442,354,711,0.498,212,0.934,52,234,286,432,109,20,226,233,1373
amundlo01,2225000.0,GSW,202.5,7,31,amundlo01,2010-11,GSW,NBA,87,PF,46,7,691,83,183,0.454,0,0,0.0,83,183,0.454,34,0.391,81,104,185,17,14,33,24,87,200
willire02,762195.0,GSW,195,4,27,willire02,2010-11,GSW,NBA,134,SG,80,9,1626,268,572,0.469,102,241,0.423,166,331,0.502,100,0.746,45,171,216,121,28,3,57,124,738
